ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.099996805557108672e+02,5.768950021573551368e+01,-1.178398773200002303e+01
1.099997100683697795e+02,5.768947072157197198e+01,-1.178398773200002303e+01
1.099997366297627934e+02,5.768944417682478587e+01,-1.178398773200002303e+01
1.099997605350165060e+02,5.768942028655231269e+01,-1.178398773200002303e+01
1.099997820497448515e+02,5.768939878530709109e+01,-1.178398773200002303e+01
1.099998014130003554e+02,5.768937943418638525e+01,-1.178398773200002303e+01
1.099998188399303132e+02,5.768936201817775355e+01,-1.178398773200002303e+01
1.099998345241672695e+02,5.768934634376998360e+01,-1.178398773200002303e+01
1.099998486399805415e+02,5.768933223680298994e+01,-1.178398773200002303e+01
1.099998613442124764e+02,5.768931954053268640e+01,-1.178398773200002303e+01
1.099998727780212278e+02,5.768930811388942459e+01,-1.178398773200002303e+01
1.099998830684490940e+02,5.768929782991048683e+01,-1.178398773200002303e+01
1.099998923298341822e+02,5.768928857432944568e+01,-1.178398773200002303e+01
1.099999006650807587e+02,5.768928024430650936e+01,-1.178398773200002303e+01
1.099999081668026690e+02,5.768927274728586241e+01,-1.178398773200002303e+01
1.099999149183524025e+02,5.768926599996727589e+01,-1.178398773200002303e+01
1.099999209947471570e+02,5.768925992738055442e+01,-1.178398773200002303e+01
1.099999264635024332e+02,5.768925446205251006e+01,-1.178398773200002303e+01
1.099999313853821832e+02,5.768924954325726873e+01,-1.178398773200002303e+01
1.099999358150739539e+02,5.768924511634155294e+01,-1.178398773200002303e+01
1.099999398017965575e+02,5.768924113211740234e+01,-1.178398773200002303e+01
1.099999433898468908e+02,5.768923754631566680e+01,-1.178398773200002303e+01
1.099999466190921993e+02,5.768923431909411192e+01,-1.178398773200002303e+01
1.099999495254129727e+02,5.768923141459470116e+01,-1.178398773200002303e+01
1.099999521411016588e+02,5.768922880054524427e+01,-1.178398773200002303e+01
1.099999544952214876e+02,5.768922644790072951e+01,-1.178398773200002303e+01
1.099999566139293279e+02,5.768922433052065912e+01,-1.178398773200002303e+01
1.099999585207663984e+02,5.768922242487860075e+01,-1.178398773200002303e+01
1.099999602369197476e+02,5.768922070980074324e+01,-1.178398773200002303e+01
1.099999617814577562e+02,5.768921916623067858e+01,-1.178398773200002303e+01
1.099999631715419781e+02,5.768921777701761755e+01,-1.178398773200002303e+01
1.099999644226177651e+02,5.768921652672586475e+01,-1.178398773200002303e+01
1.099999655485859762e+02,5.768921540146328653e+01,-1.178398773200002303e+01
1.099999665619573790e+02,5.768921438872696683e+01,-1.178398773200002303e+01
1.099999674739916316e+02,5.768921347726428195e+01,-1.178398773200002303e+01
1.099999682948224802e+02,5.768921265694785916e+01,-1.178398773200002303e+01
1.099999690335702098e+02,5.768921191866307652e+01,-1.178398773200002303e+01
1.099999696984431807e+02,5.768921125420676788e+01,-1.178398773200002303e+01
1.099999702968288631e+02,5.768921065619610289e+01,-1.178398773200002303e+01
1.099999708353759615e+02,5.768921011798649801e+01,-1.178398773200002303e+01
1.099999713200683686e+02,5.768920963359785503e+01,-1.178398773200002303e+01
1.099999717562915151e+02,5.768920919764807564e+01,-1.178398773200002303e+01
1.099999721488923541e+02,5.768920880529327633e+01,-1.178398773200002303e+01
1.099999725022331205e+02,5.768920845217395765e+01,-1.178398773200002303e+01
1.099999728202397904e+02,5.768920813436657369e+01,-1.178398773200002303e+01
1.099999731064458075e+02,5.768920784833992599e+01,-1.178398773200002303e+01
1.099999733640312201e+02,5.768920759091594874e+01,-1.178398773200002303e+01
1.099999735958580942e+02,5.768920735923435927e+01,-1.178398773200002303e+01
1.099999738045022752e+02,5.768920715072093230e+01,-1.178398773200002303e+01
1.099999739922820368e+02,5.768920696305884377e+01,-1.178398773200002303e+01
1.099999741612838307e+02,5.768920679416297048e+01,-1.178398773200002303e+01
1.099999743133854366e+02,5.768920664215667671e+01,-1.178398773200002303e+01
1.099999744502768948e+02,5.768920650535102368e+01,-1.178398773200002303e+01
1.099999745734792072e+02,5.768920638222591890e+01,-1.178398773200002303e+01
1.099999746843612769e+02,5.768920627141333313e+01,-1.178398773200002303e+01
1.099999747841551425e+02,5.768920617168200238e+01,-1.178398773200002303e+01
1.099999748739696201e+02,5.768920608192381394e+01,-1.178398773200002303e+01
1.099999749548026529e+02,5.768920600114144293e+01,-1.178398773200002303e+01
1.099999750275523809e+02,5.768920592843730333e+01,-1.178398773200002303e+01
1.099999750930271460e+02,5.768920586300358622e+01,-1.178398773200002303e+01
1.099999751519544304e+02,5.768920580411324295e+01,-1.178398773200002303e+01
1.099999752049889850e+02,5.768920575111192761e+01,-1.178398773200002303e+01
1.099999752527200769e+02,5.768920570341074949e+01,-1.178398773200002303e+01
1.099999752956780554e+02,5.768920566047968634e+01,-1.178398773200002303e+01
1.099999753343402489e+02,5.768920562184172240e+01,-1.178398773200002303e+01
1.099999753691362088e+02,5.768920558706755486e+01,-1.178398773200002303e+01
1.099999754004525840e+02,5.768920555577081188e+01,-1.178398773200002303e+01
1.099999754286373275e+02,5.768920552760373965e+01,-1.178398773200002303e+01
1.099999754540035894e+02,5.768920550225337252e+01,-1.178398773200002303e+01
1.099999754768332281e+02,5.768920547943804422e+01,-1.178398773200002303e+01
1.099999754973799071e+02,5.768920545890424734e+01,-1.178398773200002303e+01
1.099999755158719097e+02,5.768920544042381948e+01,-1.178398773200002303e+01
1.099999755325146964e+02,5.768920542379144223e+01,-1.178398773200002303e+01
1.099999755474932357e+02,5.768920540882230341e+01,-1.178398773200002303e+01
1.099999755609738941e+02,5.768920539535007919e+01,-1.178398773200002303e+01
1.099999755731065108e+02,5.768920538322507952e+01,-1.178398773200002303e+01
1.099999755840258473e+02,5.768920537231258550e+01,-1.178398773200002303e+01
1.099999755938532502e+02,5.768920536249133590e+01,-1.178398773200002303e+01
1.099999756026979156e+02,5.768920535365220559e+01,-1.178398773200002303e+01
1.099999756106581259e+02,5.768920534569699043e+01,-1.178398773200002303e+01
1.099999756178223009e+02,5.768920533853729893e+01,-1.178398773200002303e+01
1.099999756242700641e+02,5.768920533209357160e+01,-1.178398773200002303e+01
1.099999756300730525e+02,5.768920532629422127e+01,-1.178398773200002303e+01
1.099999756352957405e+02,5.768920532107480170e+01,-1.178398773200002303e+01
1.099999756399961512e+02,5.768920531637733262e+01,-1.178398773200002303e+01
1.099999756442265380e+02,5.768920531214961045e+01,-1.178398773200002303e+01
1.099999756480338675e+02,5.768920530834466120e+01,-1.178398773200002303e+01
1.099999756514604741e+02,5.768920530492020760e+01,-1.178398773200002303e+01
1.099999756545444143e+02,5.768920530183820006e+01,-1.178398773200002303e+01
1.099999756573199789e+02,5.768920529906439043e+01,-1.178398773200002303e+01
1.099999756598179630e+02,5.768920529656795537e+01,-1.178398773200002303e+01
1.099999756620661628e+02,5.768920529432117661e+01,-1.178398773200002303e+01
1.099999756640895470e+02,5.768920529229906435e+01,-1.178398773200002303e+01
1.099999756659105827e+02,5.768920529047916546e+01,-1.178398773200002303e+01
1.099999756675495206e+02,5.768920528884125787e+01,-1.178398773200002303e+01
1.099999756690245505e+02,5.768920528736714459e+01,-1.178398773200002303e+01
1.099999756703521001e+02,5.768920528604043341e+01,-1.178398773200002303e+01
1.099999756715468777e+02,5.768920528484640187e+01,-1.178398773200002303e+01
1.099999756726221847e+02,5.768920528377176993e+01,-1.178398773200002303e+01
1.099999756735899581e+02,5.768920528280460047e+01,-1.178398773200002303e+01
1.099999756744609698e+02,5.768920528193415009e+01,-1.178398773200002303e+01
1.099999756752448548e+02,5.768920528115074120e+01,-1.178398773200002303e+01
1.099999756759503668e+02,5.768920528044567675e+01,-1.178398773200002303e+01
1.099999756765853220e+02,5.768920527981111235e+01,-1.178398773200002303e+01
1.099999756771567689e+02,5.768920527924001362e+01,-1.178398773200002303e+01
1.099999756776711024e+02,5.768920527872602833e+01,-1.178398773200002303e+01
1.099999756781339784e+02,5.768920527826342948e+01,-1.178398773200002303e+01
1.099999756785505696e+02,5.768920527784709407e+01,-1.178398773200002303e+01
1.099999756789255088e+02,5.768920527747240357e+01,-1.178398773200002303e+01
1.099999756792629455e+02,5.768920527713517288e+01,-1.178398773200002303e+01
1.099999756795666457e+02,5.768920527683166455e+01,-1.178398773200002303e+01
1.099999756798399630e+02,5.768920527655850350e+01,-1.178398773200002303e+01
1.099999756800859672e+02,5.768920527631265571e+01,-1.178398773200002303e+01
1.099999756803073581e+02,5.768920527609140692e+01,-1.178398773200002303e+01
1.099999756805066085e+02,5.768920527589227731e+01,-1.178398773200002303e+01
1.099999756806859494e+02,5.768920527571305712e+01,-1.178398773200002303e+01
