ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.079008220609197800e-03,-2.926346309964008262e-03,-2.803361388394539060e-03
1.081737221005595918e-03,-2.922834494777169778e-03,-2.804392208459217072e-03
1.084193320201571210e-03,-2.919673861680978973e-03,-2.805319946511341655e-03
1.086403808348757613e-03,-2.916829292476572598e-03,-2.806154910703280089e-03
1.088393246577621385e-03,-2.914269180783033222e-03,-2.806906378381449508e-03
1.090183739900722282e-03,-2.911965080855966320e-03,-2.807582699165150995e-03
1.091795182825423425e-03,-2.909891391524149426e-03,-2.808191387717851560e-03
1.093245480405165369e-03,-2.908025071732446218e-03,-2.808739207241602986e-03
1.094550747185458594e-03,-2.906345384530401293e-03,-2.809232244622255660e-03
1.095725486255169460e-03,-2.904833666661931282e-03,-2.809675978060311753e-03
1.096782750392583496e-03,-2.903473121196012592e-03,-2.810075337938846163e-03
1.097734287096784880e-03,-2.902248630894280028e-03,-2.810434761604752030e-03
1.098590669115835205e-03,-2.901146590241846564e-03,-2.810758242671955020e-03
1.099361411922090926e-03,-2.900154754275021188e-03,-2.811049375394380004e-03
1.100055079439941777e-03,-2.899262102526246714e-03,-2.811311394601691532e-03
1.100679379200749167e-03,-2.898458716574535410e-03,-2.811547211641500944e-03
1.101241247982257757e-03,-2.897735669840837552e-03,-2.811759446727398609e-03
1.101746928884051076e-03,-2.897084928403886612e-03,-2.811950458052219111e-03
1.102202040695440550e-03,-2.896499261734437804e-03,-2.812122367989995913e-03
1.102611640326550116e-03,-2.895972162356094844e-03,-2.812277086677756732e-03
1.102980278996286943e-03,-2.895497773540029688e-03,-2.812416333239141451e-03
1.103312052801499457e-03,-2.895070824230242673e-03,-2.812541654885687345e-03
1.103610648229217577e-03,-2.894686570476293856e-03,-2.812654444107985131e-03
1.103879383117657492e-03,-2.894340742722750076e-03,-2.812755954147738366e-03
1.104121243521124281e-03,-2.894029498369691655e-03,-2.812847312922615601e-03
1.104338916888421805e-03,-2.893749379077169542e-03,-2.812929535558630033e-03
1.104534821923416812e-03,-2.893497272339211161e-03,-2.813003535669284221e-03
1.104711135459538526e-03,-2.893270376900424368e-03,-2.813070135506803241e-03
1.104869816646837253e-03,-2.893066171630944393e-03,-2.813130075098248424e-03
1.105012628720328889e-03,-2.892882387513884962e-03,-2.813184020468023801e-03
1.105141158591499547e-03,-2.892716982434035203e-03,-2.813232571038129688e-03
1.105256834480668367e-03,-2.892568118487703899e-03,-2.813276266288400156e-03
1.105360941786104291e-03,-2.892434141561561235e-03,-2.813315591750709891e-03
1.105454637366239936e-03,-2.892313562953607430e-03,-2.813350984403767754e-03
1.105538962393649892e-03,-2.892205042832038386e-03,-2.813382837528426942e-03
1.105614853923643157e-03,-2.892107375348227424e-03,-2.813411505077469035e-03
1.105683155305993643e-03,-2.892019475238407234e-03,-2.813437305608410335e-03
1.105744625555488136e-03,-2.891940365765188932e-03,-2.813460525823023410e-03
1.105799947785433227e-03,-2.891869167864918617e-03,-2.813481423752909119e-03
1.105849736797800183e-03,-2.891805090380303832e-03,-2.813500231626516173e-03
1.105894545914358268e-03,-2.891747421269785182e-03,-2.813517158449452531e-03
1.105934873124699968e-03,-2.891695519695957391e-03,-2.813532392326768394e-03
1.105971166619455943e-03,-2.891648808905152197e-03,-2.813546102553012192e-03
1.106003829770189992e-03,-2.891606769819070159e-03,-2.813558441493281895e-03
1.106033225611311073e-03,-2.891568935267241867e-03,-2.813569546276165935e-03
1.106059680873785252e-03,-2.891534884796241340e-03,-2.813579540317394639e-03
1.106083489615480213e-03,-2.891504239997988533e-03,-2.813588534691129593e-03
1.106104916488477238e-03,-2.891476660305209844e-03,-2.813596629364114882e-03
1.106124199679648246e-03,-2.891451839207356996e-03,-2.813603914306419661e-03
1.106141553557178549e-03,-2.891429500844938921e-03,-2.813610470491112892e-03
1.106157171052432392e-03,-2.891409396944413270e-03,-2.813616370793949918e-03
1.106171225803640520e-03,-2.891391304059590973e-03,-2.813621680803116230e-03
1.106183874085206725e-03,-2.891375021088901740e-03,-2.813626459547977424e-03
1.106195256544098169e-03,-2.891360367040931873e-03,-2.813630760154960369e-03
1.106205499762581224e-03,-2.891347179023410520e-03,-2.813634630437855319e-03
1.106214717664698614e-03,-2.891335310433291571e-03,-2.813638113429067170e-03
1.106223012782085648e-03,-2.891324629327837476e-03,-2.813641247857764233e-03
1.106230477393216902e-03,-2.891315016958579710e-03,-2.813644068580199373e-03
1.106237194548718430e-03,-2.891306366451900246e-03,-2.813646606966997005e-03
1.106243238994152837e-03,-2.891298581621540471e-03,-2.813648891251720185e-03
1.106248678000527029e-03,-2.891291575899867985e-03,-2.813650946844576273e-03
1.106253572111747267e-03,-2.891285271376015792e-03,-2.813652796614751848e-03
