q0 (),q1,q2,q3
4.596982931877747758e-01,-4.452967291133870797e-01,2.028668372211710480e-01,7.411027922205152274e-01
4.596477966069770216e-01,-4.452347009152866630e-01,2.027396755043658072e-01,7.412061711505179007e-01
4.596023268916413773e-01,-4.451788474986931310e-01,2.026252436477056218e-01,7.412992010600255588e-01
4.595613856879194326e-01,-4.451285567153171474e-01,2.025222660696581745e-01,7.413829189610108283e-01
4.595245236535662192e-01,-4.450832766183251410e-01,2.024295952385590236e-01,7.414582577645295602e-01
4.594913357134527976e-01,-4.450425096349242549e-01,2.023461987745868162e-01,7.415260567664434532e-01
4.594614567597168353e-01,-4.450058072850178736e-01,2.022711478591148748e-01,7.415870710702852087e-01
4.594345577577653161e-01,-4.449727653983082121e-01,2.022036068173871937e-01,7.416419800562453757e-01
4.594103422221349486e-01,-4.449430197856493185e-01,2.021428237545007112e-01,7.416913949938509498e-01
4.593885430289454952e-01,-4.449162423238026687e-01,2.020881221371779723e-01,7.417358658857469145e-01
4.593689195342963716e-01,-4.448921374159564568e-01,2.020388932249789216e-01,7.417758876209040730e-01
4.593512549704495407e-01,-4.448704387934323545e-01,2.019945892645685637e-01,7.418119055074878787e-01
4.593353540939932311e-01,-4.448509066268866441e-01,2.019547173695674380e-01,7.418443202483666621e-01
4.593210410623862483e-01,-4.448333249180232429e-01,2.019188340164786433e-01,7.418734924157671662e-01
4.593081575173406095e-01,-4.448174991453590077e-01,2.018865400943161692e-01,7.418997464757892679e-01
4.592965608554009926e-01,-4.448032541399229434e-01,2.018574764519390774e-01,7.419233744082949222e-01
4.592861226678572883e-01,-4.447904321689419294e-01,2.018313198928174401e-01,7.419446389630528493e-01
4.592767273337369227e-01,-4.447788912075584244e-01,2.018077795720757683e-01,7.419637765888410508e-01
4.592682707511286377e-01,-4.447685033804602561e-01,2.017865937552532352e-01,7.419810000684827767e-01
4.592606591934557669e-01,-4.447591535569877519e-01,2.017675269023410656e-01,7.419965008894431335e-01
4.592538082785664888e-01,-4.447507380848161329e-01,2.017503670443494546e-01,7.420104513766063725e-01
4.592476420396561787e-01,-4.447431636487229611e-01,2.017349234229744714e-01,7.420230066111612732e-01
4.592420920880792568e-01,-4.447363462422231906e-01,2.017210243669123049e-01,7.420343061570974230e-01
4.592370968590519520e-01,-4.447302102410252700e-01,2.017085153810378451e-01,7.420444756146498122e-01
4.592326009321177627e-01,-4.447246875683182332e-01,2.016972574270686769e-01,7.420536280180716204e-01
4.592285544190231605e-01,-4.447197169428651620e-01,2.016871253764889738e-01,7.420618650933631377e-01
4.592249124123677362e-01,-4.447152432017456580e-01,2.016780066184448161e-01,7.420692783900136869e-01
4.592216344890343582e-01,-4.447112166903878228e-01,2.016697998070648146e-01,7.420759502993968804e-01
4.592186842629865651e-01,-4.447075927132430606e-01,2.016624137342208911e-01,7.420819549711822338e-01
4.592160289825554798e-01,-4.447043310391061710e-01,2.016557663151553603e-01,7.420873591379935075e-01
4.592136391678077745e-01,-4.447013954556709447e-01,2.016497836756575568e-01,7.420922228575084212e-01
4.592114882840234724e-01,-4.446987533684430005e-01,2.016443993306158977e-01,7.420966001802731249e-01
4.592095524477037838e-01,-4.446963754396076607e-01,2.016395534447890103e-01,7.421005397506735823e-01
4.592078101618759511e-01,-4.446942352628887041e-01,2.016351921675607617e-01,7.421040853477630650e-01
4.592062420777875964e-01,-4.446923090708203574e-01,2.016312670342687574e-01,7.421072763719633869e-01
4.592048307803651697e-01,-4.446905754712117131e-01,2.016277344274388095e-01,7.421101482830678719e-01
4.592035605950730015e-01,-4.446890152098988414e-01,2.016245550919298357e-01,7.421127329944141593e-01
4.592024174140447168e-01,-4.446876109571685221e-01,2.016216936985885111e-01,7.421150592276212210e-01
4.592013885395642703e-01,-4.446863471154969272e-01,2.016191184515609969e-01,7.421171528318337707e-01
4.592004625431722609e-01,-4.446852096464788406e-01,2.016168007348898283e-01,7.421190370710291084e-01
4.591996291388381612e-01,-4.446841859150366116e-01,2.016147147944652163e-01,7.421207328825824012e-01
4.591988790687968058e-01,-4.446832645491844427e-01,2.016128374517924260e-01,7.421222591099647659e-01
4.591982040007855925e-01,-4.446824353137988073e-01,2.016111478463916418e-01,7.421236327121664145e-01
