ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-2.136613406280764716e-04,-9.794032820123270255e+00
0.000000000000000000e+00,-2.136613422203590383e-04,-9.794032820327881694e+00
0.000000000000000000e+00,-2.136613438126416320e-04,-9.794032820532493133e+00
0.000000000000000000e+00,-2.136613454049241174e-04,-9.794032820737101019e+00
0.000000000000000000e+00,-2.136613469972067111e-04,-9.794032820941714235e+00
0.000000000000000000e+00,-2.136613485894892507e-04,-9.794032821146323897e+00
0.000000000000000000e+00,-2.136613501817717360e-04,-9.794032821350933560e+00
0.000000000000000000e+00,-2.136613517740543026e-04,-9.794032821555546775e+00
0.000000000000000000e+00,-2.136613533663368422e-04,-9.794032821760156438e+00
0.000000000000000000e+00,-2.136613549586193546e-04,-9.794032821964767876e+00
0.000000000000000000e+00,-2.136613565509018400e-04,-9.794032822169379315e+00
0.000000000000000000e+00,-2.136613581431843524e-04,-9.794032822373988978e+00
0.000000000000000000e+00,-2.136613597354668648e-04,-9.794032822578598640e+00
0.000000000000000000e+00,-2.136613613277493502e-04,-9.794032822783210079e+00
0.000000000000000000e+00,-2.136613629200318626e-04,-9.794032822987821518e+00
0.000000000000000000e+00,-2.136613645123143751e-04,-9.794032823192431181e+00
0.000000000000000000e+00,-2.136613661045968604e-04,-9.794032823397040843e+00
0.000000000000000000e+00,-2.136613676968793186e-04,-9.794032823601654059e+00
0.000000000000000000e+00,-2.136613692891617768e-04,-9.794032823806263721e+00
0.000000000000000000e+00,-2.136613708814442622e-04,-9.794032824010873384e+00
0.000000000000000000e+00,-2.136613724737267204e-04,-9.794032824215486599e+00
0.000000000000000000e+00,-2.136613740660092057e-04,-9.794032824420096262e+00
0.000000000000000000e+00,-2.136613756582916911e-04,-9.794032824624707700e+00
0.000000000000000000e+00,-2.136613772505741493e-04,-9.794032824829320916e+00
0.000000000000000000e+00,-2.136613788428565533e-04,-9.794032825033930578e+00
0.000000000000000000e+00,-2.136613804351390658e-04,-9.794032825238540241e+00
0.000000000000000000e+00,-2.136613820274214969e-04,-9.794032825443151680e+00
0.000000000000000000e+00,-2.136613836197038738e-04,-9.794032825647763119e+00
0.000000000000000000e+00,-2.136613852119863591e-04,-9.794032825852372781e+00
0.000000000000000000e+00,-2.136613868042688174e-04,-9.794032826056982444e+00
