ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583641648468268055e-03,-1.803940588972211264e-05,-2.147979513370654528e-03
3.583641641705417793e-03,-1.803940588921823984e-05,-2.147979524653643394e-03
3.583641634942568398e-03,-1.803940588871435688e-05,-2.147979535936632260e-03
3.583641628179719436e-03,-1.803940588821048409e-05,-2.147979547219621560e-03
3.583641621416869174e-03,-1.803940588770660790e-05,-2.147979558502610860e-03
3.583641614654018911e-03,-1.803940588720272833e-05,-2.147979569785599726e-03
3.583641607891169083e-03,-1.803940588669885215e-05,-2.147979581068589459e-03
3.583641601128319688e-03,-1.803940588619497596e-05,-2.147979592351578326e-03
3.583641594365469859e-03,-1.803940588569109639e-05,-2.147979603634567192e-03
3.583641587602619596e-03,-1.803940588518722021e-05,-2.147979614917556491e-03
3.583641580839769334e-03,-1.803940588468334064e-05,-2.147979626200545358e-03
3.583641574076919505e-03,-1.803940588417946107e-05,-2.147979637483534224e-03
3.583641567314069243e-03,-1.803940588367558827e-05,-2.147979648766523090e-03
3.583641560551219414e-03,-1.803940588317170531e-05,-2.147979660049511956e-03
3.583641553788369152e-03,-1.803940588266782913e-05,-2.147979671332501690e-03
3.583641547025519323e-03,-1.803940588216395972e-05,-2.147979682615490122e-03
3.583641540262669060e-03,-1.803940588166007337e-05,-2.147979693898478988e-03
3.583641533499818364e-03,-1.803940588115619719e-05,-2.147979705181467854e-03
3.583641526736968102e-03,-1.803940588065232101e-05,-2.147979716464456287e-03
3.583641519974118273e-03,-1.803940588014844144e-05,-2.147979727747445153e-03
3.583641513211267143e-03,-1.803940587964456525e-05,-2.147979739030434453e-03
3.583641506448417315e-03,-1.803940587914068568e-05,-2.147979750313423319e-03
3.583641499685567052e-03,-1.803940587863680950e-05,-2.147979761596412185e-03
3.583641492922716356e-03,-1.803940587813292993e-05,-2.147979772879400617e-03
3.583641486159865226e-03,-1.803940587762905713e-05,-2.147979784162389050e-03
3.583641479397015397e-03,-1.803940587712517756e-05,-2.147979795445377916e-03
